candidate_id,rank,score,reasoning
CAND_0053605,1,0.98624,"Senior Software Engineer (ML) with 6.9 yrs; 5 AI core skills; strong pgvector assessment (79.9); Noida, Uttar Pradesh"
CAND_0072688,2,0.983073,"Data Scientist with 6.9 yrs; 7 AI core skills; strong Recommendation Systems assessment (74.9); Pune, Maharashtra"
CAND_0010257,3,0.97308,"Senior Data Scientist with 6.5 yrs; 8 AI core skills; strong OpenSearch assessment (90.5); caveats: 120-day notice period; Noida, Uttar Pradesh"
CAND_0052328,4,0.970647,"Recommendation Systems Engineer with 6.5 yrs; 10 AI core skills; strong LoRA assessment (85.4); Pune, Maharashtra"
CAND_0010149,5,0.967945,"ML Engineer with 6.9 yrs; 7 AI core skills; strong Milvus assessment (50.1); caveats: 90-day notice period; Bangalore, Karnataka"
CAND_0046525,6,0.966937,"Senior Machine Learning Engineer with 6.1 yrs; 11 AI core skills; strong LangChain assessment (96.5); Pune, Maharashtra"
CAND_0006567,7,0.963484,"Senior AI Engineer with 7.9 yrs; 15 AI core skills; strong scikit-learn assessment (89.9); Noida, Uttar Pradesh"
CAND_0098217,8,0.963176,"ML Engineer with 6.4 yrs; 6 AI core skills; best assessment Weights & Biases (48.2, not core-relevant); Noida, Uttar Pradesh"
CAND_0071939,9,0.959767,"Data Scientist with 6.4 yrs; 7 AI core skills; strong QLoRA assessment (47.7); Pune, Maharashtra"
CAND_0027691,10,0.958797,"NLP Engineer with 6.5 yrs; 11 AI core skills; strong LoRA assessment (86.9); Pune, Maharashtra"
CAND_0037566,11,0.957286,"Machine Learning Engineer with 6.9 yrs; 10 AI core skills; strong Pinecone assessment (82.4); Bangalore, Karnataka"
CAND_0061257,12,0.957215,"Staff Machine Learning Engineer with 8.0 yrs; 11 AI core skills; strong Haystack assessment (69.6); Noida, Uttar Pradesh"
CAND_0005649,13,0.957015,"Senior Data Scientist with 7.4 yrs; 12 AI core skills; no assessment data; caveats: 90-day notice period; Delhi, Delhi"
CAND_0064326,14,0.957011,"Search Engineer with 7.6 yrs; 10 AI core skills; strong Milvus assessment (75.5); Gurgaon, Haryana"
CAND_0048558,15,0.956532,"Data Scientist with 6.7 yrs; 4 AI core skills; no assessment data; Noida, Uttar Pradesh"
CAND_0077956,16,0.955092,"Computer Vision Engineer with 6.4 yrs; 7 AI core skills; strong Weaviate assessment (55.3); caveats: 120-day notice period; Chandigarh, Chandigarh"
CAND_0033987,17,0.95481,"ML Engineer with 6.8 yrs; 7 AI core skills; strong Recommendation Systems assessment (78.4); caveats: 90-day notice period; Delhi, Delhi"
CAND_0091909,18,0.95451,"Machine Learning Engineer with 6.9 yrs; 10 AI core skills; strong LLMs assessment (84.9); Bangalore, Karnataka"
CAND_0030946,19,0.954115,"Junior ML Engineer with 6.7 yrs; 8 AI core skills; best assessment Computer Vision (65.9, not core-relevant); caveats: slow response (~4d); Mumbai, Maharashtra"
CAND_0065514,20,0.953716,"ML Engineer with 6.6 yrs; 8 AI core skills; strong Pinecone assessment (67.0); caveats: 90-day notice period; Pune, Maharashtra"
CAND_0067041,21,0.952572,"Data Scientist with 6.9 yrs; 7 AI core skills; strong Milvus assessment (60.1); caveats: 120-day notice period; Noida, Uttar Pradesh"
CAND_0007009,22,0.950813,"Recommendation Systems Engineer with 7.9 yrs; 12 AI core skills; best assessment Statistical Modeling (51.2, not core-relevant); Noida, Uttar Pradesh"
CAND_0069905,23,0.948984,"Applied ML Engineer with 6.6 yrs; 9 AI core skills; strong LoRA assessment (71.3); caveats: 90-day notice period; Bhubaneswar, Odisha"
CAND_0032271,24,0.948679,"AI Research Engineer with 6.6 yrs; 5 AI core skills; no assessment data; caveats: 120-day notice period; Hyderabad, Telangana"
CAND_0062247,25,0.948381,"AI Engineer with 7.3 yrs; 10 AI core skills; no assessment data; Kochi, Kerala"
CAND_0061175,26,0.947145,"AI Research Engineer with 6.7 yrs; 7 AI core skills; strong Recommendation Systems assessment (72.2); caveats: 120-day notice period, slow response (~4d); Gurgaon, Haryana"
CAND_0049540,27,0.946186,"ML Engineer with 6.8 yrs; 5 AI core skills; best assessment YOLO (66.0, not core-relevant); Trivandrum, Kerala"
CAND_0008295,28,0.944834,"AI Research Engineer with 6.5 yrs; 6 AI core skills; strong BM25 assessment (59.1); Pune, Maharashtra"
CAND_0043676,29,0.944654,"Senior Software Engineer (ML) with 6.1 yrs; 7 AI core skills; best assessment ASR (80.9, not core-relevant); caveats: slow response (~5d); Delhi, Delhi"
CAND_0018549,30,0.944055,"Recommendation Systems Engineer with 6.8 yrs; 9 AI core skills; strong Elasticsearch assessment (90.0); Coimbatore, Tamil Nadu"
CAND_0040955,31,0.943649,"Junior ML Engineer with 6.6 yrs; 5 AI core skills; best assessment Kubeflow (70.3, not core-relevant); caveats: slow response (~4d); Pune, Maharashtra"
CAND_0043860,32,0.943298,"Junior ML Engineer with 6.1 yrs; 7 AI core skills; strong Information Retrieval assessment (83.5); Bhubaneswar, Odisha"
CAND_0057736,33,0.942295,"Computer Vision Engineer with 6.2 yrs; 7 AI core skills; no assessment data; caveats: 90-day notice period; Coimbatore, Tamil Nadu"
CAND_0060835,34,0.942264,"Senior Software Engineer (ML) with 6.6 yrs; 5 AI core skills; strong PyTorch assessment (83.4); caveats: 90-day notice period; Bangalore, Karnataka"
CAND_0073385,35,0.942181,"Computer Vision Engineer with 6.7 yrs; 4 AI core skills; no assessment data; caveats: 120-day notice period, slow response (~4d); Gurgaon, Haryana"
CAND_0081480,36,0.941814,"Computer Vision Engineer with 5.6 yrs; 6 AI core skills; strong Fine-tuning LLMs assessment (76.6); Noida, Uttar Pradesh"
CAND_0068273,37,0.941447,"Data Scientist with 6.6 yrs; 5 AI core skills; strong pgvector assessment (55.3); Pune, Maharashtra"
CAND_0096655,38,0.940598,"Junior ML Engineer with 5.9 yrs; 4 AI core skills; strong RAG assessment (41.5); Hyderabad, Telangana"
CAND_0079387,39,0.940292,"AI Engineer with 6.9 yrs; 11 AI core skills; strong Sentence Transformers assessment (85.8); Trivandrum, Kerala"
CAND_0096104,40,0.940174,"AI Specialist with 7.0 yrs; 5 AI core skills; no assessment data; Delhi, Delhi"
CAND_0067717,41,0.940074,"AI Specialist with 6.9 yrs; 7 AI core skills; strong FAISS assessment (51.1); Noida, Uttar Pradesh"
CAND_0006418,42,0.939532,"Machine Learning Engineer with 5.7 yrs; 8 AI core skills; strong Semantic Search assessment (89.0); Gurgaon, Haryana"
CAND_0018722,43,0.939228,Recommendation Systems Engineer with 6.6 yrs; 8 AI core skills; no assessment data; caveats: 90-day notice period; Toronto
CAND_0091039,44,0.93788,"AI Specialist with 6.8 yrs; 5 AI core skills; no assessment data; caveats: 120-day notice period, slow response (~5d); Chennai, Tamil Nadu"
CAND_0011432,45,0.937388,"Senior Data Scientist with 7.6 yrs; 8 AI core skills; strong Haystack assessment (82.2); Chennai, Tamil Nadu"
CAND_0028793,46,0.937277,"Search Engineer with 7.2 yrs; 10 AI core skills; strong Embeddings assessment (88.7); caveats: 120-day notice period; Trivandrum, Kerala"
CAND_0070398,47,0.936946,"Machine Learning Engineer with 7.2 yrs; 12 AI core skills; strong RAG assessment (84.8); caveats: 120-day notice period; Kochi, Kerala"
CAND_0083852,48,0.936355,"Data Scientist with 6.0 yrs; 8 AI core skills; best assessment Kubeflow (68.6, not core-relevant); caveats: 90-day notice period; Ahmedabad, Gujarat"
CAND_0052682,49,0.936016,"NLP Engineer with 6.6 yrs; 8 AI core skills; strong QLoRA assessment (65.8); Vizag, Andhra Pradesh"
CAND_0007412,50,0.935779,"Applied ML Engineer with 7.4 yrs; 7 AI core skills; strong scikit-learn assessment (55.8); caveats: 120-day notice period; Noida, Uttar Pradesh"
CAND_0075574,51,0.935689,"Machine Learning Engineer with 5.7 yrs; 12 AI core skills; strong pgvector assessment (82.9); Bangalore, Karnataka"
CAND_0081852,52,0.935657,"Senior Data Scientist with 5.9 yrs; 7 AI core skills; no assessment data; Delhi, Delhi"
CAND_0088441,53,0.935595,"AI Specialist with 6.5 yrs; 5 AI core skills; strong Qdrant assessment (72.3); caveats: 90-day notice period; Coimbatore, Tamil Nadu"
CAND_0057563,54,0.935115,"NLP Engineer with 6.8 yrs; 8 AI core skills; strong Deep Learning assessment (80.6); Indore, Madhya Pradesh"
CAND_0070514,55,0.935097,"AI Specialist with 5.5 yrs; 6 AI core skills; best assessment Kubeflow (87.1, not core-relevant); Bangalore, Karnataka"
CAND_0091745,56,0.934578,"Junior ML Engineer with 5.9 yrs; 6 AI core skills; strong Fine-tuning LLMs assessment (85.5); Pune, Maharashtra"
CAND_0018499,57,0.934381,"Senior Machine Learning Engineer with 7.2 yrs; 13 AI core skills; strong Deep Learning assessment (94.0); Noida, Uttar Pradesh"
CAND_0004402,58,0.934274,"AI Research Engineer with 6.0 yrs; 7 AI core skills; strong PyTorch assessment (84.9); Delhi, Delhi"
CAND_0069232,59,0.933989,"ML Engineer with 6.3 yrs; 6 AI core skills; strong Python assessment (72.7); caveats: 120-day notice period; Pune, Maharashtra"
CAND_0052195,60,0.933208,"Computer Vision Engineer with 6.3 yrs; 5 AI core skills; strong Sentence Transformers assessment (75.3); Kolkata, West Bengal"
CAND_0037160,61,0.933075,"Data Scientist with 6.0 yrs; 7 AI core skills; no assessment data; Mumbai, Maharashtra"
CAND_0033911,62,0.932908,"Data Scientist with 6.9 yrs; 6 AI core skills; best assessment MLOps (68.1, not core-relevant); caveats: 120-day notice period; Delhi, Delhi"
CAND_0012837,63,0.932574,"Junior ML Engineer with 6.4 yrs; 5 AI core skills; strong Vector Search assessment (66.5); caveats: slow response (~5d); Chandigarh, Chandigarh"
CAND_0026942,64,0.932314,"Junior ML Engineer with 6.0 yrs; 7 AI core skills; strong TensorFlow assessment (70.4); Chandigarh, Chandigarh"
CAND_0066999,65,0.931457,"Recommendation Systems Engineer with 5.9 yrs; 8 AI core skills; strong Pinecone assessment (90.3); Delhi, Delhi"
CAND_0094056,66,0.931371,"NLP Engineer with 5.9 yrs; 11 AI core skills; no assessment data; caveats: 120-day notice period; Chennai, Tamil Nadu"
CAND_0058575,67,0.931169,"AI Engineer with 5.8 yrs; 7 AI core skills; no assessment data; caveats: 90-day notice period; Chennai, Tamil Nadu"
CAND_0078002,68,0.931104,"Machine Learning Engineer with 6.3 yrs; 11 AI core skills; strong pgvector assessment (80.2); Coimbatore, Tamil Nadu"
CAND_0029439,69,0.93108,"AI Specialist with 6.4 yrs; 7 AI core skills; strong Qdrant assessment (83.8); Ahmedabad, Gujarat"
CAND_0093193,70,0.930897,"Senior Machine Learning Engineer with 7.9 yrs; 15 AI core skills; strong Learning to Rank assessment (86.6); Bangalore, Karnataka"
CAND_0057529,71,0.930784,"Junior ML Engineer with 6.9 yrs; 5 AI core skills; best assessment Data Science (83.3, not core-relevant); Mumbai, Maharashtra"
CAND_0022614,72,0.929788,"Data Scientist with 6.0 yrs; 4 AI core skills; strong PEFT assessment (74.2); caveats: 90-day notice period; Gurgaon, Haryana"
CAND_0011687,73,0.929766,"Senior NLP Engineer with 7.8 yrs; 10 AI core skills; strong TensorFlow assessment (78.1); Indore, Madhya Pradesh"
CAND_0010541,74,0.929545,"AI Research Engineer with 6.2 yrs; 7 AI core skills; strong Weaviate assessment (76.8); Hyderabad, Telangana"
CAND_0007567,75,0.92953,"AI Specialist with 6.1 yrs; 8 AI core skills; strong Fine-tuning LLMs assessment (79.7); Kochi, Kerala"
CAND_0009691,76,0.929505,"Applied ML Engineer with 6.2 yrs; 11 AI core skills; strong LoRA assessment (81.8); caveats: 120-day notice period; Indore, Madhya Pradesh"
CAND_0041696,77,0.928969,"Senior Software Engineer (ML) with 6.2 yrs; 5 AI core skills; strong LoRA assessment (87.8); caveats: slow response (~4d), low response rate (0.26); Hyderabad, Telangana"
CAND_0017722,78,0.928331,"Data Scientist with 5.7 yrs; 6 AI core skills; best assessment YOLO (40.4, not core-relevant); Noida, Uttar Pradesh"
CAND_0000165,79,0.928205,AI Specialist with 6.8 yrs; 6 AI core skills; strong Information Retrieval assessment (84.7); caveats: 120-day notice period; San Francisco
CAND_0076412,80,0.927931,"AI Research Engineer with 5.8 yrs; 7 AI core skills; strong Semantic Search assessment (47.5); caveats: 120-day notice period; Noida, Uttar Pradesh"
CAND_0086292,81,0.927901,"AI Specialist with 6.2 yrs; 6 AI core skills; strong Prompt Engineering assessment (63.3); caveats: 90-day notice period, slow response (~4d); Pune, Maharashtra"
CAND_0001131,82,0.927644,"ML Engineer with 5.8 yrs; 5 AI core skills; best assessment Speech Recognition (81.3, not core-relevant); caveats: 90-day notice period; Chennai, Tamil Nadu"
CAND_0018701,83,0.927362,"Junior ML Engineer with 6.0 yrs; 5 AI core skills; strong Information Retrieval assessment (82.8); Delhi, Delhi"
CAND_0007052,84,0.927002,"ML Engineer with 6.5 yrs; 8 AI core skills; no assessment data; Pune, Maharashtra"
CAND_0073007,85,0.926971,"AI Specialist with 5.8 yrs; 5 AI core skills; strong Embeddings assessment (45.8); Bangalore, Karnataka"
