candidate_id,semantic_similarity
CAND_0046064,0.8502035
CAND_0039754,0.8393958
CAND_0092278,0.8390879
CAND_0030827,0.83775073
CAND_0008425,0.8375834
CAND_0019480,0.83083665
CAND_0033861,0.829054
CAND_0030953,0.8289025
CAND_0070485,0.8267695
CAND_0011687,0.8265927
CAND_0093547,0.82106745
CAND_0046525,0.8194537
CAND_0006557,0.8185098
CAND_0084819,0.81839067
CAND_0005260,0.8183435
CAND_0094759,0.8178003
CAND_0096172,0.817549
CAND_0041611,0.8164142
CAND_0099401,0.81508124
CAND_0041568,0.814345
CAND_0009533,0.5572963
CAND_0018703,0.5572791
CAND_0045473,0.55715907
CAND_0027767,0.55713475
CAND_0039352,0.5571183
CAND_0097055,0.5567128
CAND_0058916,0.5566639
CAND_0054048,0.5564575
CAND_0058710,0.556093
CAND_0012204,0.55514157
CAND_0083452,0.55488956
CAND_0063390,0.5541471
CAND_0091844,0.5540948
CAND_0053252,0.5540921
CAND_0038491,0.5534973
CAND_0037615,0.5523394
CAND_0041325,0.5503017
CAND_0032090,0.547348
CAND_0097289,0.5473318
CAND_0099898,0.546254
